date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,year,month,day,hour,minute,traffic
2024-02-23,0.62,2.0,32.0,30.0,110.0,46.0,26.0,7.0,2.0,26.0,293.0,2.1,2024,2,23,14,0,0.9
2024-02-23,0.76,2.0,44.0,41.0,125.0,52.0,35.0,4.0,2.0,28.0,276.0,1.8,2024,2,23,15,0,0.78
2024-02-23,0.56,1.0,32.0,31.0,133.0,56.0,39.0,2.0,2.0,29.0,39.0,2.1,2024,2,23,16,0,0.98
2024-02-23,0.41,0.0,22.0,22.0,127.0,47.0,35.0,0.0,1.0,29.0,46.0,2.0,2024,2,23,17,0,0.75
2024-02-26,0.33,2.0,17.0,15.0,55.0,25.0,17.0,6.0,0.0,27.0,56.0,2.3,2024,2,26,14,0,0.77
2024-02-26,0.33,2.0,17.0,15.0,63.0,14.0,,5.0,0.0,28.0,332.0,2.2,2024,2,26,15,0,0.75
2024-02-26,0.39,4.0,22.0,18.0,61.0,23.0,11.0,4.0,0.0,29.0,297.0,,2024,2,26,16,0,0.71
2024-02-26,0.53,8.0,36.0,29.0,60.0,27.0,1.0,4.0,1.0,29.0,307.0,2.5,2024,2,26,17,0,0.95
2024-02-26,0.6,8.0,40.0,32.0,52.0,26.0,10.0,4.0,0.0,29.0,278.0,2.7,2024,2,26,18,0,1.0
2024-02-26,0.9,13.0,63.0,50.0,28.0,30.0,11.0,5.0,1.0,28.0,328.0,2.4,2024,2,26,19,0,0.93
2024-02-26,0.81,6.0,58.0,52.0,29.0,60.0,12.0,13.0,1.0,26.0,44.0,2.8,2024,2,26,20,0,1.0
2024-02-26,0.86,26.0,90.0,65.0,16.0,56.0,16.0,19.0,1.0,24.0,43.0,2.6,2024,2,26,21,0,1.0
2024-02-26,0.67,7.0,50.0,42.0,7.0,64.0,22.0,18.0,0.0,22.0,16.0,2.5,2024,2,26,22,0,1.0
2024-02-26,0.88,21.0,62.0,41.0,3.0,39.0,12.0,19.0,1.0,22.0,323.0,1.8,2024,2,26,23,0,1.0
2024-02-27,0.61,5.0,33.0,29.0,66.0,60.0,48.0,13.0,3.0,26.0,307.0,1.8,2024,2,27,13,0,0.85
2024-02-27,0.54,3.0,28.0,25.0,84.0,37.0,31.0,9.0,2.0,27.0,342.0,1.9,2024,2,27,14,0,0.84
2024-02-27,0.55,2.0,26.0,24.0,100.0,34.0,27.0,9.0,2.0,28.0,179.0,1.7,2024,2,27,15,0,0.89
2024-02-27,0.54,1.0,25.0,24.0,108.0,38.0,22.0,9.0,2.0,29.0,43.0,1.9,2024,2,27,16,0,0.9
2024-02-27,0.44,0.0,19.0,19.0,115.0,51.0,32.0,8.0,2.0,29.0,122.0,1.8,2024,2,27,17,0,0.88
2024-02-27,0.6,1.0,30.0,29.0,106.0,51.0,32.0,8.0,2.0,29.0,75.0,1.4,2024,2,27,18,0,1.0
2024-02-27,0.61,0.0,32.0,32.0,80.0,47.0,31.0,12.0,1.0,28.0,122.0,3.1,2024,2,27,19,0,0.88
2024-02-27,0.71,1.0,33.0,33.0,58.0,86.0,41.0,16.0,1.0,25.0,165.0,3.2,2024,2,27,20,0,0.92
2024-02-27,0.86,0.0,46.0,46.0,44.0,68.0,30.0,18.0,1.0,24.0,111.0,1.7,2024,2,27,21,0,0.93
2024-02-27,1.18,10.0,74.0,64.0,23.0,52.0,30.0,19.0,1.0,23.0,170.0,1.0,2024,2,27,22,0,0.91
2024-02-27,1.52,16.0,97.0,81.0,7.0,55.0,34.0,22.0,1.0,22.0,154.0,1.2,2024,2,27,23,0,0.93
2024-02-28,0.48,3.0,40.0,37.0,24.0,44.0,31.0,19.0,2.0,21.0,293.0,3.0,2024,2,28,0,0,1.0
2024-02-28,,,,,,76.0,44.0,26.0,,21.0,353.0,,2024,2,28,1,0,1.0
2024-02-28,,,,,,77.0,47.0,29.0,,20.0,239.0,,2024,2,28,2,0,1.0
2024-02-28,,,,,,39.0,27.0,32.0,,19.0,132.0,0.9,2024,2,28,3,0,1.0
2024-02-28,0.96,9.0,65.0,56.0,6.0,55.0,41.0,33.0,1.0,18.0,179.0,1.0,2024,2,28,4,0,1.0
2024-02-28,1.1,20.0,78.0,58.0,2.0,39.0,31.0,36.0,1.0,17.0,110.0,0.7,2024,2,28,5,0,1.0
2024-02-28,1.93,141.0,198.0,57.0,2.0,41.0,33.0,37.0,3.0,16.0,97.0,0.9,2024,2,28,6,0,1.0
