date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,year,month,day,hour,minute,traffic
20/03/2024,1.2,43.0,95.0,52.0,1.0,53.0,15.0,35.0,2.0,22.0,6.0,1.6,2024,3,20,0,0,1.0
20/03/2024,0.88,4.0,45.0,41.0,12.0,33.0,19.0,40.0,1.0,22.0,107.0,0.7,2024,3,20,1,0,1.0
20/03/2024,1.08,12.0,60.0,48.0,5.0,44.0,19.0,42.0,1.0,21.0,130.0,1.0,2024,3,20,2,0,1.0
20/03/2024,0.86,4.0,49.0,45.0,6.0,47.0,29.0,43.0,1.0,21.0,121.0,0.4,2024,3,20,3,0,1.0
20/03/2024,0.81,5.0,45.0,40.0,7.0,40.0,25.0,43.0,1.0,21.0,113.0,0.6,2024,3,20,4,0,1.0
20/03/2024,0.83,18.0,58.0,40.0,4.0,37.0,23.0,44.0,1.0,20.0,105.0,0.5,2024,3,20,5,0,1.0
20/03/2024,1.14,45.0,90.0,45.0,1.0,35.0,22.0,46.0,1.0,19.0,146.0,1.1,2024,3,20,6,0,1.0
20/03/2024,1.85,110.0,154.0,43.0,1.0,48.0,31.0,47.0,3.0,19.0,111.0,0.8,2024,3,20,7,0,0.98
20/03/2024,2.54,117.0,163.0,46.0,2.0,47.0,23.0,47.0,3.0,19.0,172.0,0.9,2024,3,20,8,0,0.82
20/03/2024,1.74,56.0,109.0,53.0,7.0,57.0,25.0,41.0,3.0,21.0,320.0,1.2,2024,3,20,9,0,0.96
20/03/2024,1.34,30.0,84.0,54.0,18.0,54.0,27.0,34.0,5.0,23.0,325.0,1.6,2024,3,20,10,0,0.96
20/03/2024,1.18,16.0,69.0,53.0,37.0,55.0,28.0,32.0,4.0,24.0,4.0,2.2,2024,3,20,11,0,0.97
20/03/2024,0.84,4.0,38.0,34.0,68.0,56.0,33.0,29.0,6.0,25.0,32.0,2.3,2024,3,20,12,0,0.93
