Contaminante,Zona,Valor Activación,Estación,Día,Fecha de activación,Hora de Activacion,Fase,Valor de activación durante,Estación,Fecha,Hora,Fecha de desactivación,Hora de desactivación,"Valor de activación
desactivacion"
Ozono,SO,160,Centro de Ciencias de la Atmósfera,Jueves,30/05/2024,15:00,I,160,Centro de Ciencias de la Atmósfera,30/05/2024,15:00,31/05/2024,15:00,120
Ozono,SE,174,UAM-Xochimilco,Sábado,25/05/2024,14:00,I,174,UAM-Xochimilco,25/05/2024,14:00,26/05/2024,17:00,117
Ozono,CE,158,Benito Juárez,Miércoles,22/05/2024,14:00,I,170,UAM-Xochimilco,22/05/2024,15:00,24/05/2024,18:00,105
Ozono,SO,160,Centro de Ciencias de la Atmósfera,Sábado,18/05/2024,14:00,I,165,Centro de Ciencias de la Atmosfera,18/05/2024,15:00,19/05/2024,15:00,120
Ozono,SE,156,UAM-Iztapalapa,Lunes,13/05/2024,15:00,I,181,Cuautitlán,14/05/2024,17:00,16/05/2024,17:00,96
Ozono,NE,158,Gustavo A. Madero,Jueves,09/05/2024,13:00,I,168,Pedegal,09/05/2024,15:00,10/05/2024,17:00,105
Ozono,NO,170,Tlalnepantla,Viernes,03/05/2024,15:00,I,170,Tlalnepantla,03/05/2024,15:00,04/05/2024,17:00,96
Ozono,NO,158,Tlalnepantla,Martes,30/04/2024,15:00,I,163,Tultitlán,30/04/2024,17:00,01/05/2024,17:00,113
Ozono,NO,162,"Atizapan, Cuautitlán y Villa de las Flores",Sábado,23/03/2024,16:00,I,162,Atizapán,23/03/2024,16:00,24/03/2024,15:00,94
Ozono,NO,163,Atizapan,Jueves,06/03/2024,15:00,I,179,Atizapan,06/03/2024,16:00,07/03/2024,15:00,111
Ozono,SO,167,Ajusco Medio,Jueves,22/02/2024,15:00,I,187,FES-Aragón,23/02/2024,16:00,25/02/2024,15:00,114
PM2.5,SE,99.5,Santiago Acahualtepec,Lunes,01/01/2024,10:00,I Regional,119.5,Santiago Acahualtepec,01/01/2024,18:00,01/01/2024,18:00,119.5
Ozono,NO,161,FES- Acatlán,Sábado,25/03/2023,16:00,I,161,FES- Acatlán,25/03/2023,16:00,27/03/2023,18:00,105
Ozono,SO,155,Ajusco Medio,Jueves,23/02/2023,15:00,I,171,Ajusco Medio,23/02/2023,16:00,24/02/2023,18:00,113
PM2.5,SE,104,Santiago Acahualtepec,Domingo,01/01/2023,11:00,I Regional,109,Santiago Acahualtepec,01/01/2023,15:00,01/01/2023,16:00,108
Ozono,SO,155,Centro de Ciencias de la Atmósfera,sábado,12/11/2022,15:00,I,163,Ajusco Medio,12/11/2022,17:00,14/11/2022,17:00,121
Ozono,SO,156,Santa Fe,Martes,07/06/2022,17:00,I,156,Santa Fe,07/06/2022,17:00,08/06/2022,15:00,115
Ozono,SO,160,Cuajimalpa,Viernes,20/05/2022,15:00,I,172,Santa Fe,20/05/2022,16:00,21/05/2022,17:00,142
Ozono,CE,168,Benito Juárez,Jueves,05/05/2022,16:00,I,168,Benito Juárez,05/05/2022,16:00,06/05/2022,20:00,94
